"Response ID","Time Started","Date Submitted","Status","Contact ID","Legacy Comments","Comments","Language","Referer","SessionID","User Agent","Tags","IP Address","Longitude","Latitude","Country","City","State/Region","Postal","Access Log","communityBoardID","isDeleted","Policy Area","Need Group","Agency","Type","Need","Request","Dropdown Combinations","Dropdown Logic","Budget Request Title Please give your budget request a short and recognizable title that will allow it to be readily identified (ex. PS 41 Amenity Upgrade)","Continued Support:Please check the box below if you'd like to mark this request for Continued Support","Budget Request - Continued Support Checkbox Visibility","Explanation","Is this request specific to a particular site, location, or facility?","Address:Request Location (complete all that apply) For addresses, please select an option from the Address Search drop down where possible.","Site or Facility Name:Request Location (complete all that apply) For addresses, please select an option from the Address Search drop down where possible.","Facility Name:Request Location (complete all that apply) For addresses, please select an option from the Address Search drop down where possible.","Cross-Street 1 (for Street Segment):Request Location (complete all that apply) For addresses, please select an option from the Address Search drop down where possible.","Cross-Street 2 (for Street Segment):Request Location (complete all that apply) For addresses, please select an option from the Address Search drop down where possible.","address-search.js","On Street (Enter Street Name):Complete the following if your request is for a street segment","Cross Street 1:Complete the following if your request is for a street segment","Cross Street 2:Complete the following if your request is for a street segment","Side of Street (if only one-side):Complete the following if your request is for a street segment","Street Name:Complete the following if your request is for an intersection","Intersection - Street 1:Complete the following if your request is for an intersection","Intersection - Street 2:Complete the following if your request is for an intersection","Compass Direction (if streets intersect twice):Complete the following if your request is for an intersection","Supporter 1","Supporter 2","1:Would you like to upload any supporting documentation? (Up to 2 files, max. file size: 500KB)","2:Would you like to upload any supporting documentation? (Up to 2 files, max. file size: 500KB)","3:Would you like to upload any supporting documentation? (Up to 2 files, max. file size: 500KB)","4:Would you like to upload any supporting documentation? (Up to 2 files, max. file size: 500KB)","5:Would you like to upload any supporting documentation? (Up to 2 files, max. file size: 500KB)","6:Would you like to upload any supporting documentation? (Up to 2 files, max. file size: 500KB)","7:Would you like to upload any supporting documentation? (Up to 2 files, max. file size: 500KB)","8:Would you like to upload any supporting documentation? (Up to 2 files, max. file size: 500KB)","9:Would you like to upload any supporting documentation? (Up to 2 files, max. file size: 500KB)","10:Would you like to upload any supporting documentation? (Up to 2 files, max. file size: 500KB)","previousFYAgencyResponse","previousFYAgencyCategoryResponse","currentFYAgencyResponse","currentFYAgencyCategoryResponse","previousFYRanking","currentFYRanking","Previous Year ID","Current Year ID"
"3952","Aug 20, 2024 12:25:00 pm","Aug 20, 2024 12:25:00 pm","Complete","","","","English","https://survey.alchemer.com/s3/7531899/Community-Board-Budget-Request?snc=1724164425_66c4a9493dfbc7.40515300&ssoconfirmation=QVBJam0xWk1pRmhJa3hWOXhMMEtZOHJDM0FnUFQwMHc0NEF6eGJjbGlpUWpXdVdaalVxVUE4c3lWb09wZUJzM2N%2BaDhjU3hkZnVYUVJjbTJKOHdLZFF2NzhfYm5nb0hJUWt2M0xsN1hMVENiVElidFFVdno5cl9xaHJEMHlTT2szVXU3eHRGZkRERDdzNWNfdUlyWlpVOG9kTDRHWUtURmMzTjRLZVQ5MXJzLA%3D%3D","1724171155_66c4c3931d7997.61479204","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","","108.29.51.210","-73.95020294","40.78089905","United States","New York","NY","10128","","BX1","","Youth, Education, and Child Welfare","Needs for Youth Education","School Construction Authority","Capital","Schools and educational facilities","Renovate or upgrade an elementary school","","","Renovate or upgrade an elementary school","","","Funding for construction of new first floor classroom flooring at PS25 located at 811 East 149th Street.    The first floor within PS25, the Bilingual School has deteriorated to such a degree that one classroom floor has buckled and created an unsafe environment for children seeking to learn daily.  The Board would like to see the immediate repair of this condition.","Yes","PS 25, Bronx, NY, USA","PS25","","","","","","","","","","","","","","","","","","","","","","","","","Unable to prioritize funding for this project request at this time.","The agency does not/cannot give priority to funding this request","","","1","","101202501C","7531899-3952-2026-BX1-C"
"3953","Aug 20, 2024 12:26:00 pm","Aug 20, 2024 12:26:00 pm","Complete","","","","English","https://survey.alchemer.com/s3/7531899/Community-Board-Budget-Request?snc=1724164425_66c4a9493dfbc7.40515300&ssoconfirmation=QVBJam0xWk1pRmhJa3hWOXhMMEtZOHJDM0FnUFQwMHc0NEF6eGJjbGlpUWpXdVdaalVxVUE4c3lWb09wZUJzM2N%2BaDhjU3hkZnVYUVJjbTJKOHdLZFF2NzhfYm5nb0hJUWt2M0xsN1hMVENiVElidFFVdno5cl9xaHJEMHlTT2szVXU3eHRGZkRERDdzNWNfdUlyWlpVOG9kTDRHWUtURmMzTjRLZVQ5MXJzLA%3D%3D","1724171159_66c4c397edbb23.19452682","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","","108.29.51.210","-73.95020294","40.78089905","United States","New York","NY","10128","","BX1","","Parks, Cultural, and Other Community Facilities","Needs for Library Services","New York Public Library (NYPL)","Expense","Library facilities, equipment and programs","Extend library hours, expand library programs, and enhance library collections","","","Extend library hours, expand library programs, and enhance library collections","","","Increase Funding for New York Public Library Services in the District. In order to provide the opportunity for district children and youth to fully participate in the New York Public library's many services, funding for the Mott Haven and Woodstock branches needs to be increased to allow for all libraries to be open six days and at least forty-two hours a week. The New York Public Library and Community Board One request that the City restore funding to provide robust six day service including increased hours, diverse programming, strong collections and sufficient staff to support these functions. In these challenging economic times, the services provided through the Library are needed by New Yorkers more than ever. (Previous Tracking Codes: 101200801E)","No","","","","","","","","","","","","","","","","","","","","","","","","","","","NYPL is in favor of this project but added or restored City funding is required for all expense budget costs and any needed capital costs.  NYPL will continue to work through the City's budget process for needed funding. Contact NYPL for more information.","The agency agrees with this request, but funding cannot be determined at this time","","","1","","101202501E","7531899-3953-2026-BX1-E"
"3954","Aug 20, 2024 12:26:00 pm","Aug 20, 2024 12:26:00 pm","Complete","","","","English","https://survey.alchemer.com/s3/7531899/Community-Board-Budget-Request?snc=1724164425_66c4a9493dfbc7.40515300&ssoconfirmation=QVBJam0xWk1pRmhJa3hWOXhMMEtZOHJDM0FnUFQwMHc0NEF6eGJjbGlpUWpXdVdaalVxVUE4c3lWb09wZUJzM2N%2BaDhjU3hkZnVYUVJjbTJKOHdLZFF2NzhfYm5nb0hJUWt2M0xsN1hMVENiVElidFFVdno5cl9xaHJEMHlTT2szVXU3eHRGZkRERDdzNWNfdUlyWlpVOG9kTDRHWUtURmMzTjRLZVQ5MXJzLA%3D%3D","1724171164_66c4c39cea2703.81513873","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","","108.29.51.210","-73.95020294","40.78089905","United States","New York","NY","10128","","BX1","","Youth, Education, and Child Welfare","Needs for Youth Education","School Construction Authority","Capital","Schools and educational facilities","Renovate or upgrade an elementary school","","","Renovate or upgrade an elementary school","","","Funding for the placement of critical air circulation and conditioning system in PS1 located at 335 East 152nd Street, the Courtlandt School.    Community Board 1 is within the most profound asthma corridor of our City.  We voice  our concerns about the current conditions for learning in all of our schools.  However, in PS1 the air quality and circulation is extremely poor.  Its over heated conditions are not conducive for learning and is having an adverse impact on the learning environment for our children.  We advocate for the allocation of Capital funding for construction of an air condition system within the school.","Yes","PS 1, Bronx, NY, USA","PS1","","","","","","","","","","","","","","","","","","","","","","","","","Unable to prioritize funding for this project request at this time.","The agency does not/cannot give priority to funding this request","","","2","","101202502C","7531899-3954-2026-BX1-C"
"3955","Aug 20, 2024 12:26:00 pm","Aug 20, 2024 12:26:00 pm","Complete","","","","English","https://survey.alchemer.com/s3/7531899/Community-Board-Budget-Request?snc=1724164425_66c4a9493dfbc7.40515300&ssoconfirmation=QVBJam0xWk1pRmhJa3hWOXhMMEtZOHJDM0FnUFQwMHc0NEF6eGJjbGlpUWpXdVdaalVxVUE4c3lWb09wZUJzM2N%2BaDhjU3hkZnVYUVJjbTJKOHdLZFF2NzhfYm5nb0hJUWt2M0xsN1hMVENiVElidFFVdno5cl9xaHJEMHlTT2szVXU3eHRGZkRERDdzNWNfdUlyWlpVOG9kTDRHWUtURmMzTjRLZVQ5MXJzLA%3D%3D","1724171169_66c4c3a1e90884.83462701","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","","108.29.51.210","-73.95020294","40.78089905","United States","New York","NY","10128","","BX1","","Public Safety and Emergency Services","Needs for Public Safety","New York Police Department (NYPD)","Expense","NYPD staff and training resources","Hire additional uniformed officers","","","Hire additional uniformed officers","","","Provide and assign more Police Officers to the 40th Police Precinct and to the Police Service Area 7 of the Housing Bureau as well as the Transit Police.    Due to the proliferation of illegal gun possession and rise in shootings and homicides in our streets and Housing Authority Developments, there is a need for more police presence within the 10 sectors of the 40th Precinct. Additionally, there is a need for more officers to enforce truck traffic and double-parking.","No","","","","","","","","","","","","","","","","","","","","","","","","","","","NYPD's total uniformed staffing levels depend on decisions made in the Preliminary and Executive Budget process.  Allocation of uniformed personnel is scheduled by the agency only after graduation of police classes from the Academy.","The agency supports this request, but funding is not available at this time","","","2","","101202502E","7531899-3955-2026-BX1-E"
"3956","Aug 20, 2024 12:26:00 pm","Aug 20, 2024 12:26:00 pm","Complete","","","","English","https://survey.alchemer.com/s3/7531899/Community-Board-Budget-Request?snc=1724164425_66c4a9493dfbc7.40515300&ssoconfirmation=QVBJam0xWk1pRmhJa3hWOXhMMEtZOHJDM0FnUFQwMHc0NEF6eGJjbGlpUWpXdVdaalVxVUE4c3lWb09wZUJzM2N%2BaDhjU3hkZnVYUVJjbTJKOHdLZFF2NzhfYm5nb0hJUWt2M0xsN1hMVENiVElidFFVdno5cl9xaHJEMHlTT2szVXU3eHRGZkRERDdzNWNfdUlyWlpVOG9kTDRHWUtURmMzTjRLZVQ5MXJzLA%3D%3D","1724171174_66c4c3a6e6ddd7.72912500","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","","108.29.51.210","-73.95020294","40.78089905","United States","New York","NY","10128","","BX1","","Transportation and Mobility","Needs for Traffic and Transportation Infrastructure","Department of Transportation (DOT)","Capital","Transportation infrastructure","Repair or provide new street lights","","","Repair or provide new street lights","","","Upgrade illumination on existing street lighting in the District.    Street lighting throughout the entire District at night does not appear to be providing the proper illumination to support public safety.  The Board requests for an upgrade ad increase in foot-candles on the existing lamp poles, including within all pedestrian underpasses in the District.","No","","","","","","","","","","","","","","","","","","","","","","","","","","","Wattage/lumen changes of street lights are not permissible.  The number of street lights can only be increased if the request is accompanied by funding to cover all equipment and construction costs and a Maintenance Agreement is signed with a City Chartered organization willing and able to pay for the associated maintenance cost of electricity, repairs, etc. - i.e. Business Improvement District.","The agency supports this request, but funding is not available at this time","","","3","","101202503C","7531899-3956-2026-BX1-C"
"3957","Aug 20, 2024 12:26:00 pm","Aug 20, 2024 12:26:00 pm","Complete","","","","English","https://survey.alchemer.com/s3/7531899/Community-Board-Budget-Request?snc=1724164425_66c4a9493dfbc7.40515300&ssoconfirmation=QVBJam0xWk1pRmhJa3hWOXhMMEtZOHJDM0FnUFQwMHc0NEF6eGJjbGlpUWpXdVdaalVxVUE4c3lWb09wZUJzM2N%2BaDhjU3hkZnVYUVJjbTJKOHdLZFF2NzhfYm5nb0hJUWt2M0xsN1hMVENiVElidFFVdno5cl9xaHJEMHlTT2szVXU3eHRGZkRERDdzNWNfdUlyWlpVOG9kTDRHWUtURmMzTjRLZVQ5MXJzLA%3D%3D","1724171179_66c4c3abe50763.79059155","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","","108.29.51.210","-73.95020294","40.78089905","United States","New York","NY","10128","","BX1","","Youth, Education, and Child Welfare","Needs for Youth and Child Welfare","Administration for Children's Services (ACS)","Expense","Foster care and child welfare","Provide, expand, or enhance funding to support higher education and/or workforce development opportunities for youth who are leaving foster care","","","Provide, expand, or enhance funding to support higher education and/or workforce development opportunities for youth who are leaving foster care","","","Fund development of recreational programming for Aging-Out youth 18 to 25 from foster care.    There is a need for additional resources and services to support activities for this population.","No","","","","","","","","","","","","","","","","","","","","","","","","","","","ACS currently offers services for youth and families. Please contact the Office of Intergovernmental Affairs for additional information at 212-341-0999, or check our website at www.nyc.gov/acs.","This request has already been funded.","","","3","","101202503E","7531899-3957-2026-BX1-E"
"3958","Aug 20, 2024 12:26:00 pm","Aug 20, 2024 12:26:00 pm","Complete","","","","English","https://survey.alchemer.com/s3/7531899/Community-Board-Budget-Request?snc=1724164425_66c4a9493dfbc7.40515300&ssoconfirmation=QVBJam0xWk1pRmhJa3hWOXhMMEtZOHJDM0FnUFQwMHc0NEF6eGJjbGlpUWpXdVdaalVxVUE4c3lWb09wZUJzM2N%2BaDhjU3hkZnVYUVJjbTJKOHdLZFF2NzhfYm5nb0hJUWt2M0xsN1hMVENiVElidFFVdno5cl9xaHJEMHlTT2szVXU3eHRGZkRERDdzNWNfdUlyWlpVOG9kTDRHWUtURmMzTjRLZVQ5MXJzLA%3D%3D","1724171184_66c4c3b0e5c037.95730604","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","","108.29.51.210","-73.95020294","40.78089905","United States","New York","NY","10128","","BX1","","Transportation and Mobility","Needs for Traffic and Transportation Infrastructure","Department of Transportation (DOT)","Capital","Transportation infrastructure","Repair or provide new street lights","","","Repair or provide new street lights","","","Fund major improvements including additional lighting at the Major Deegan underpasses at Brook, St. Ann's, Lincoln and Willis Avenues.    There is a need for additional lighting at the Major Deegan underpasses at Brook, St. Ann's, Lincoln and Willis Avenues as it is dangerous for residents that have to pass through these locations due to inadequate lighting.","No","","","","","","","","","","","","","","","","","","","","","","","","","","","Please contact the Borough Commissioner's office to discuss this request.","This request requires further study","","","4","","101202504C","7531899-3958-2026-BX1-C"
"3959","Aug 20, 2024 12:26:00 pm","Aug 20, 2024 12:26:00 pm","Complete","","","","English","https://survey.alchemer.com/s3/7531899/Community-Board-Budget-Request?snc=1724164425_66c4a9493dfbc7.40515300&ssoconfirmation=QVBJam0xWk1pRmhJa3hWOXhMMEtZOHJDM0FnUFQwMHc0NEF6eGJjbGlpUWpXdVdaalVxVUE4c3lWb09wZUJzM2N%2BaDhjU3hkZnVYUVJjbTJKOHdLZFF2NzhfYm5nb0hJUWt2M0xsN1hMVENiVElidFFVdno5cl9xaHJEMHlTT2szVXU3eHRGZkRERDdzNWNfdUlyWlpVOG9kTDRHWUtURmMzTjRLZVQ5MXJzLA%3D%3D","1724171194_66c4c3bae60e60.96314773","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","","108.29.51.210","-73.95020294","40.78089905","United States","New York","NY","10128","","BX1","","Health Care and Human Services","Needs for Health Care and Facilities","Department of Health and Mental Hygiene (DOHMH)","Expense","Programs to address other public health issues","Other programs to address public health issues requests","","","Other programs to address public health issues requests","","","Add Funding for Asthma Treatment. Bronx Community District #1 has been designated as part of the Asthma Corridor. The Municipal Hospital in our district. Lincoln Medical & Mental Health Center, handles approximately 50,000 pediatric visits and 45,000 pediatric emergency room visits, 5% of which are Asthma related. Additional funding is needed for Asthma Education and case management assistance.","No","","","","","","","","","","","","","","","","","","","","","","","","","","","The agency will accommodate this issue within existing resources.","The agency agrees with this request, but funding cannot be determined at this time","","","4","","101202504E","7531899-3959-2026-BX1-E"
"3960","Aug 20, 2024 12:26:00 pm","Aug 20, 2024 12:26:00 pm","Complete","","","","English","https://survey.alchemer.com/s3/7531899/Community-Board-Budget-Request?snc=1724164425_66c4a9493dfbc7.40515300&ssoconfirmation=QVBJam0xWk1pRmhJa3hWOXhMMEtZOHJDM0FnUFQwMHc0NEF6eGJjbGlpUWpXdVdaalVxVUE4c3lWb09wZUJzM2N%2BaDhjU3hkZnVYUVJjbTJKOHdLZFF2NzhfYm5nb0hJUWt2M0xsN1hMVENiVElidFFVdno5cl9xaHJEMHlTT2szVXU3eHRGZkRERDdzNWNfdUlyWlpVOG9kTDRHWUtURmMzTjRLZVQ5MXJzLA%3D%3D","1724171189_66c4c3b5e9d455.53078665","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","","108.29.51.210","-73.95020294","40.78089905","United States","New York","NY","10128","","BX1","","Transportation and Mobility","Needs for Traffic and Transportation Infrastructure","Department of Transportation (DOT)","Capital","Transportation infrastructure","Rehabilitate bridges","","","Rehabilitate bridges","","","The reconstruction of the East 153rd Street Bridge.  Previously at this location the past Administration had approved a design for a cable-less Bridge at East 153rd Street and the money was taken out of the budget.  Due to increased population in Bronx County in Boards 1 and 4 there is a need for a new bridge to be built at this location.    The increased density and strained traffic conditions in the District along 149th Street, the Grand Concourse and on to East 161st Street has created limited options for drivers.  The East 153rd Street Bridge is presently in the projected Capital Plan.  Our Board supports development of the East 153rd Street Bridge which can reduce congestion in our District.","Yes","","159th Street Bridge","","","","","","","","","","","","","","","","","","","","","","","","","Funds are unavailable for this project.  We recommend this project be brought to the attention of your elected officials, i.e. Borough President, Council/Assemblymember, or State Senator.","The agency supports this request, but funding is not available at this time","","","5","","101202505C","7531899-3960-2026-BX1-C"
"3961","Aug 20, 2024 12:26:00 pm","Aug 20, 2024 12:26:00 pm","Complete","","","","English","https://survey.alchemer.com/s3/7531899/Community-Board-Budget-Request?snc=1724164425_66c4a9493dfbc7.40515300&ssoconfirmation=QVBJam0xWk1pRmhJa3hWOXhMMEtZOHJDM0FnUFQwMHc0NEF6eGJjbGlpUWpXdVdaalVxVUE4c3lWb09wZUJzM2N%2BaDhjU3hkZnVYUVJjbTJKOHdLZFF2NzhfYm5nb0hJUWt2M0xsN1hMVENiVElidFFVdno5cl9xaHJEMHlTT2szVXU3eHRGZkRERDdzNWNfdUlyWlpVOG9kTDRHWUtURmMzTjRLZVQ5MXJzLA%3D%3D","1724171199_66c4c3bfe91e88.35579140","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","","108.29.51.210","-73.95020294","40.78089905","United States","New York","NY","10128","","BX1","","Youth, Education, and Child Welfare","Needs for Youth and Child Welfare","Department of Youth and Community Development (DYCD)","Expense","Youth workforce development","Other youth workforce development requests","","","Other youth workforce development requests","","","Fund youth employment during the school year.    There is a high rate of unemployment among our youth population.  Part-time jobs are needed for students during the winter and spring sessions while attending school.","No","","","","","","","","","","","","","","","","","","","","","","","","","","","DYCD has increased funding in this service area.","This request has already been funded.","","","5","","101202505E","7531899-3961-2026-BX1-E"
